Unnamed: 0,series_name,director_name,genre,ratings,performers,ott_platform
39,Maya Bazaar For Sale,Gautami Challagulla,"2023, 7 Episodes",3.3,"Navdeep, Eesha Rebba, Jhansi, Meiyang Chang, Hari Teja, Kota Srinivasa Rao, Ravi Varma, Raja Chembolu, Sunayana, Harika Koyilamma, Naresh Vijaya Krishna",Zee5
40,The Summer I Turned Pretty Season 2,"Isabel Sandoval, Zoe Cassavetes","2023, 3 Episodes",2.8,"Lola Tung, Christopher Briney, Gavin Casalegno, Sean Kaufman, Rain Spencer, David Iacono, Elsie Fisher, Jackie Chung, Rachel Blanchard",Prime Video
41,The Trial,Suparn Verma,"2023, 8 Episodes",3.6,"Kajol, Kubbra Sait, Sheeba Chaddha, Aamir Ali, Alyy Khan, Vijay Vikram Singh, Swayam Joshi, Haelyn Shastri, Sheena Chohan",Disney+ Hotstar
42,Too Hot to Handle Season 5,No description available,"2023, 10 Episodes",2.5,"Elys Hutchinson, Shedre Dre Woodard, Alex Snell, Bryce Saltmarsh, Christine Obanor, Courtney Randolph, Hunter voetsek, Linzy Luu, Louis Russell, Megan Thomson, Trey Rodgers, Yazmin Marziali, Hannah Brooke, Isaac Francis",Netflix
43,What We Do in the Shadows Season 5,"Yana Gorskaya, Kyle Newacheck","2023, 10 Episodes",4,"Gavin Fox, Emily Mitchell, Emma McCoslin, Alison Deon, Bree Ali, Teq Zwarych, Chris Hong, Moracco Aurelius Latimore, Eli Katz",Disney+ Hotstar
44,Burn the House Down,Yûichirô Hirakawa,"2023, 8 Episodes",2.4,"Mei Nagano, Kyôka Suzuki, Yuri Tsunematsu, Taishi Nakagawa, Michiko Kichise, Kie Kitano, Mitsuhiro Oikawa, Asuka Kudô",Netflix
45,Hostel Days,Aditya Mandala,"2023, 5 Episodes",3.8,"Darahas Maturu, Akshay Lagusani, Mouli Tanuj Prasanth, Anannyaa Akulaa, Aishwarya Holakaal, Jaiyetri Makana",Prime Video
47,The Magic of Shiri,Birsa Dasgupta,2023,1.1,"Divyanka Tripathi, Namit Das, Jaaved Jaaferi, Neelu Kohli, Parmeet Sethi, Darshan Zareewala",JioCinema
50,Adhura,"Gauravv Chawla, Ananya Banerjee","2023, 7 Episodes",3.8,"Ishwak Singh, Rasika Dugal, Shrenik Arora, Rahul Dev, Poojan Chhabra, Medha Agrawal, Zoa Morani, Priya Banerjee, K.C. Shankar, Mridul Ahluwalia, Samridhi Chandola, Preet Bharadia, Chinmay Chandraunshuh, Sahil Chhabra, Arjun Deswal",Prime Video
51,Fatal Seduction,No description available,"2023, 14 Episodes",2.8,"Kgomotso Christopher, Prince Grootboom, Frances Sholto-Douglas, Ngelekanyo Ramulondi, Rizelle Januk, Thapelo Mokoena, Tazzy Smith, Nathaniel Ramabulana",Netflix
52,Hack My Home,No description available,"2023, 8 Episodes",4,"Jessica L. Banks, Ati Williams, Mikel Wetch, Brooks Atwood",Netflix
53,The Horror of Dolores Roach,"Hiromi Kamata, Eduardo Sánchez, America Young, Roxann Dawson, Edward Ornelas","2023, 8 Episodes",0.5,"Justina Machado, Alejandro Hernandez, Kita Updike, K. Todd Freeman, Judy Reyes, Marc Maron, Jean Yoon, Jeffery Self",Prime Video
54,Sweet Kaaram Coffee,"Bejoy Nambiar, Krishna Marimuthu, Swathi Raghuraaman","2023, 8 Episodes",3.9,"Lakshmi, Madhoo, Santhy Balachandran, Bala Suresh, Kavin Jay Babu, Dev, Vamsi Krishna, Samyuktha Viswanathan, Alexx O'Nell",Prime Video
55,The Lincoln Lawyer Season 2,Rob Seidenglanz,"2023, 10 Episodes",3.5,"Manuel Garcia-Rulfo, Neve Campbell, Becki Newton, Angus Sampson, Jazz Raycole, Christopher Gorham, Ntare Guma Mbaho Mwine, Jamie McShane, Krista Warner, Matt Angel",Netflix
58,Shadow Detective Season 2,Han Dong Hwa,"2023, 8 Episodes",4.5,"Lee Sung Min, Kyung Soo Jin, Jung Jin Young, Lee Hak Joo, Kim Shin Rok, Joo Jin Mo, Go Gyu Pil, Jung Hae Kyun, Hyun Bong Sik, Kim Jae Bum",Disney+ Hotstar
59,The King Who Never Was,Beatrice Borromeo,"2023, 3 Episodes",3.5,"Vittorio Emanuele di Savoia, Emanuele Filiberto di Savoia",Netflix
61,Ishq Next Door,No description available,"2023, 4 Episodes",4,"Natasha Bharadwaj, Purav Jha, Mrinal Dutt, Abhay Mahajan",JioCinema
64,Jack Ryan Season 4,No description available,"2023, 2 Episodes",4,"John Krasinski, Wendell Pierce, Michael Kelly, Betty Gabriel, Abbie Cornish, Michael Peña, Louis Ozawa",Prime Video
65,Sandeep Bhaiya,Parijat Joshi,2023,4.1,"Abhinav Anand, Deepali Gautam, Rajendra Gupta, Sunny Hinduja, Punit Tiwari",YouTube
66,Charlie Chopra & The Mystery Of Solang Valley,Vishal Bhardwaj,2023,4,"Wamiqa Gabbi, Priyanshu Painyuli, Naseerudin Shah, Lara Dutta, Neena Gupta, Ratna Pathak Shah, Gulshan Grover, Paoli Dam, Chandan Roy Sanyal, Imaaduddin Shah, Vivaan Shah",SonyLIV
68,The Night Manager Season 2,No description available,2023,3.8,"Anil Kapoor, Aditya Roy Kapur, Sobhita Dhulipala",Disney+ Hotstar
69,The Witcher Season 3,"Stephen Surjik, Gandja Monteiro, Loni Peristere, Bola Ogun","2023, 8 Episodes",2.6,"Henry Cavill, Freya Allan, Anya Chalotra, Eamon Farren, Joey Batey, MyAnna Buring, Royce Pierreson, Mimi Ndiweni, Mimî M. Khayisa, Wilson Mbomio, Anna Shaffer, Mahesh Jadu, Tom Canton, Mecia Simson, Kim Bodnia",Netflix
71,Delete,Parkpoom Wongpoom,"2023, 8 Episodes",4,"Chutimon Chuengcharoensukying, Nat Kitcharit, Duangjai Hiransri, Pattarasuda Anumanrajadhon, Sarika Sartsilpsupa, Nattarat Nopparattayaporn, Sompob Benjathikul",Netflix
73,Muscles & Mayhem: An Unauthorized Story of American Gladiators,"Jared Hess, Tony Vainuku","2023, 5 Episodes",4.8,"Michael Horton, Lori Fetrick, Raye Hollitt, Danny Lee Clark, Jim Starr, Erika Andersch, Steve Henneberry, Shirley Eson, Sha-Ri Pendleton",Netflix
77,Kafas,Sahil Sangha,"2023, 6 Episodes",3.3,"Mona Singh, Sharman Joshi, Preeti Jhangiani, Vivan Bhatena, Zarina Wahab, Mona Vasu, Mukesh Chhabra, Mikhail Gandhi, Tejaswi Ahlawat, Jyoti Gauba, Geetanjali Mishra, Araham Sawant, Ethan Manjani",SonyLIV
78,Kerala Crime Files,Ahammed Khabeer,"2023, 6 Episodes",5,"Devaki Rajendran, Aswathy Manoharan, Eika Dev, Harishankar, S.K. Mini, Aji Alok, Nidhinya Anil, Lal, Aju Varghese",Disney+ Hotstar
79,Swagger Season 2,"Reggie Rock Bythewood, Matthew A. Cherry, Katina Medina Mora","2023, 8 Episodes",0.5,"Monique Grant, RJ Thomas, Catherine Owens, Marliss Amiea, Deion Smith, Tim Perez-Ross, Jordan Kennedy, Malik J Ali, Sarah Grace Drake",Apple TV+
80,Glamorous,Todd Strauss-Schulson,"2023, 10 Episodes",1.9,"Kim Cattrall, Miss Benny, Graham Parkhurst, Damian Terriquez, Matt Rogers, Ricardo Chavira, Joel Kim Booster, Brock Ciarlelli, Meher Pavri",Netflix
81,Skull Island,Brian Duffield,"2023, 8 Episodes",3.5,Not decided,Netflix
82,Social Currency,Sagar More,"2023, 8 Episodes",2,"Roshni Rai, Mridul Madhok, Sakshi Sagar Chopra, Vagmita Singh, Ruhi Dilip Singh, Aakash Mehta, Bhavin Ashwin Bhanushali, Parth Laghate",Netflix
83,The Bear Season 2,"Christopher Storer, Joanna Calo, Ramy Youssef,","2023, 10 Episodes",4,"Jeremy Allen White, Ayo Edebiri, Ebon Moss-Bachrach, Lionel Boyce, Liza Colón-Zayas, Edwin Lee Gibson, Corey Hendrix, José Cervantes,  Richard Esteras, Abby Elliot,  Molly Gordon,  Bob Odenkirk, Olivia Colman Will Poulter",Disney+ Hotstar
84,Pret Boys,Nisheeth N Neelkanth,"2023, 10 Episodes",3.8,"Shardul Pandit, Aanchal Munjal, Ritik Ghanshani, Ahan Nirban",Amazon miniTV
85,Secret Invasion,"Thomas Bezucha, Ali Selim","2023, 6 Episodes",3.1,"Samuel L. Jackson, Ben Mendelsohn, Kingsley Ben-Adir, Olivia Colman, Emilia Clarke, Cobie Smulders, Killian Scott, Christopher McDonalad, Carmen Ejogo",Disney+ Hotstar
89,The Grand Tour Season 5,No description available,"2023, 2 Episodes",4.7,"Mike Skinner, Abbie Eaton",Prime Video
90,Black Mirror Season 6,"Toby Haynes, Anne Sewitsky, Uta Briesewitz, John Crowley, Sam Miller, Ally Pankiw,","2023, 5 Episodes",1.8,"Monica Dolan, Aaron Paul, Anjana Vasan, Kate Mara, Josh Hartnett, Ben Barnes, Salma Hayek, Zazie Beetz, Rory Culkin, Annie Murphy, Michael Cera, John Hannah, Rob Delaney, Himesh Patel",Netflix
91,Jee Karda,Arunima Sharma,"2023, 8 Episodes",2.7,"Tamannaah, Suhail Nayyar, Aashim Gulati, Anya Singh, Hussain Dalal, Samvedna Suwalka, Sayan Banerjee",Prime Video
92,Rafuchakkar,Ritam Srivastava,"2023, 9 Episodes",3.9,"Maniesh Paul, Priya Bapat, Sushant Singh, Aksha Pardasany, Aakash Dahiya, Pushkar Priyadarshi, Siddharth Joukani, Abudhar Al Hassan, Bhawsheel Sahni, Chahat Vig, Lekha Prajapati",JioCinema
93,Shaitan,Mahi v Raghav,"2023, 9 Episodes",3.4,"Jaffer Sadiq, Manikandan K., Lena, Aneesha Dama, Deviyani Sharma, Deviyani Sharma, Shelly Kishore, Nithin Prasanna, Manish Rishi, Ravi Kale, Kamakshi Bhaskarla",Disney+ Hotstar
94,Our Planet II,No description available,"2023, 4 Episodes",4,David Attenborough,Netflix
97,Lupin Season 2,"Ludovic Bernard, Hugo Gélin","2023, 5 Episodes",4,"Omar Sy, Ludivine Sagnier, Clotilde Hesme, Nicole Garcia, Hervé Pierre, Antoine Gouy, Soufiane Guerrab, Vincent Londez, Shirine Boutella, Nicolas Wanczycki, Stefan Crepon",Netflix
98,Badtameez Dil,Prashant Bhagia,"2023, 10 Episodes",3.5,"Riddhi Dogra, Barun Sobti, Minissha Lamba",Amazon miniTV
99,Bloodhounds,Joo-hwan Kim,"2023, 8 Episodes",3.1,"Woo Do-Hwan, Si Won Choi, Park Sung-woong, Soo-young Ryu, Sang-yi Lee, Choi Young-joon, Joon-ho Huh, Jung Da-Eun, Hae-yeong Lee",Netflix
100,Human Resources Season 2,No description available,"2023, 10 Episodes",5,"Nick Kroll, Maya Rudolph, Aidy Bryant, Randall Park, Keke Palmer, Brandon Kyle Goodman, David Thewlis",Netflix
101,Sarvam Shakthi Mayam,Pradeep Maddali,"2023, 10 Episodes",3,"Priya Mani, Sanjay Suri, Samir Soni, Ashlesha Thakur, Subbaraju, Abhay Simha Reddy",Zee5
102,Tex Mex Motors,No description available,"2023, 8 Episodes",3.9,"Wesley Zachary, Jaime Hjelm",Netflix
103,The Crowded Room,Kornél Mundruczó,"2023, 10 Episodes",4,"Tom Holland, Zachary Golinger, Amanda Seyfried, Emmy Rossum, Will Chase, Sasha Lane, Christopher Abbott, Emma Laird, Jason Isaacs, Lior Raz, Thomas Sadoski, Sam Vartholomeos, Levon Hawke, Laila Robins, Henry Eikenberry, Henry Zaga",Apple TV+
104,The Lake Season 2,"Paul Fox, Jordan Canning, Melanie Orr, R.T. Thorne","2023, 8 Episodes",1,"Jordan Gavaris, Julia Stiles, Madison Shamoun, Lauren Holly, Terry Chen, Jon Dore, Carolyn Scott, Natalie Lisinka, Travis Nelson, Declan Whaley, Jhaleil Swaby, Max Amani",Prime Video
106,The Snoopy Show Season 3,No description available,"2023, 12 Episodes",0.5,Not decided,Apple TV+
108,Never Have I Ever Season 4,No description available,"2023, 10 Episodes",1.5,"Maitreyi Ramakrishnan, Darren Barnet, Michael Cimino, Ramona Young, Lee Rodriguez, Megan Suri, Poorna Jagannathan, Richa Moorjani, Utkarsh Ambudkar, Niecy Nash",Netflix
110,UP65,Gaganjeet Singh,"2023, 13 Episodes",3.6,Shine Pandey,JioCinema
111,Ananth Anaadih Vadnagar,No description available,"2023, 2 Episodes",3.5,"Manoj Muntashir Shukla, Vaibhav Mutha",Amazon Prime Video
112,Arnold,Lesley Chilcott,"2023, 3 Episodes",4.3,"Arnold Schwarzenegger, James Cameron, Danny DeVito, Jamie Lee Curtis, Sylvester Stallone",Netflix
115,Deadloch,"Ben Chessell, Beck Cole, Gracie Otto","2023, 8 Episodes",0.5,"Kate Box, Madeleine Sami, Alicia Gardiner, Nina Oyama, Holly Austin, Tom Ballard, Astrid Wells, Duncan Fellows, Kris McQuade, Shaun Martindale, Kartanya Maynard, Mia Morrissey, Naarah",Prime Video
116,School of Lies,Avinash Arun Bhaware,"2023, 8 Episodes",3.6,"Varin Roopani, Vir Pachisia, Aryan Singh Ahlawat, Nimrat Kaur, Aamir Bashir, Geetika Vidya Ohlyan, Hemant Kher, Nitin Goel, Shakti Anand, Aalekh Kapoor",Disney+ Hotstar
117,Scoop,Hansal Mehta,"2023, 6 Episodes",4.2,"Karishma Tanna, Mohammad Zeeshan Ayyub, Harman Baweja, Deven Bhojani, Tannishtha Chatterjee, Tejasvini Kolhapure, Shikha Talsania, Tanmay Dhanania, Prosenjit Chatterjee, Inayat Sood, Swaroopa Ghosh, Malhar Thakar, Shikha Talsania, Ira Dubey, Ishita Arun, Sanat Vyas",Netflix
119,Valeria Season 3,No description available,"2023, 8 Episodes",4.2,"Diana Gómez, Silma López, Paula Malia, Teresa Riott, Maxi Iglesias",Netflix
121,Asur Season 2,No description available,"2023, 8 Episodes",3.8,"Arshad Warsi, Barun Sobti, Anupriya Goenka, Riddhi Dogra",JioCinema
123,The Kardashians Season 3,No description available,2023,4.8,"Kim Kardashian, Kourtney Kardashian, Khloé Kardashian, Kylie Jenner, Kendall Jenner, Kris Jenner, Travis Barker, Scott Disick.",Disney+ Hotstar
125,City of Dreams Season 3,Nagesh Kukunoor,"2023, 9 Episodes",3.9,"Priya Bapat, Eijaz Khan, Atul Kulkarni, Sachin Pilgaonkar, Sandeep Kulkarni, Flora Saini, Uday Tikekar, Krrish Chhabria, Siddharth Chandekar",Disney+ Hotstar
126,The Gryphon,"Sebastian Marka, Max Zähle","2023, 6 Episodes",4.3,"Jeremias Meyer, Zoran Pingel, Lea Drinda, Sabine Timoteo, Flora Li Thiemann, Yuri Völsch, Samirah Breuer, Thorsten Merten, Sebi Jaeger, Golo Euler, Sebastian Jäger, Theo Trebs, Armin Rohde",Prime Video
127,Crackdown Season 2,Apoorva Lakhia,"2023, 8 Episodes",3.6,"Saqib Saleem, Shriya Pilgaonkar, Iqbal Khan, Waluscha D'Souza, Rajesh Tailang, Ankur Bhatia, Ekavali Khanna, Palak Jaiswal, Tanya Desai, Vipin Bhardwaj",JioCinema
128,Fubar Season 1,Phil Abraham,"2023, 8 Episodes",4.5,"Arnold Schwarzenegger, Monica Barbaro, Jay Baruchel, Aparna Brielle, Andy Buckley, Milan Carter, Fortune Feimster, Barbara Eve Harris, Gabriel Luna, Fabiana Udenio, Travis Van Winkle",Netflix
139,Dead Pixels,Aditya Mandala,2023,2.6,"Sai Ronak, Niharika Konidela, Rajeev Kanakala, Bindu Chandramouli, Jayasri Rachakonda, Harsha Chemudu, Akshay Lagusani, Bhavana Sagi",Disney+ Hotstar
141,Muted,Gabe Ibáñez,"2023, 8 Episodes",2.2,"Arón Piper, Almudena Amor, Cristina Kovani, Manu Ríos, Aitor Luna, Ramiro Blases, Aria Bedmares, Mikel Losada",Netflix
143,Stillwater Season 3,No description available,2023,5,Not decided,Apple TV+
144,Yeh Meri Family Season 2,Mandar Kurundkar,"2023, 5 Episodes",3.4,"Rajesh Kumar, Juhi Parmar, Hetal Gada, Veena Mehta, Angaad Maahloy",Amazon miniTV
145,"Young, Famous & African Season 2",No description available,"2023, 9 Episodes",2.8,"Bonang Matheba, Fantana, Luis Munana, Sebabatso Mothibi, Rosette Ncwana, Khanyi Mbau, Diamond Platnumz, Nadia Nakai, Swanky Jerry, Naked DJ, Kayleigh Schwark, Andile Ncube",Netflix
146,Inspector Avinash,Neeraj Pathak,"2023, 8 Episodes",3.9,"Randeep Hooda, Shaleen Bhanot, Sohit Soni, Ayeesha S. Aiman, Subhash Dhankar, Urvashi Rautela, Bidita Bag, Resh Lamba, Ali Quli Mirza, Sandeep Chatterjee, Rahul Mittra, Amit Anand Raut, Sneha Singh",JioCinema
147,Modern Love Chennai,"Bharathiraja, Raju Murugan, Krishnakumar Ramakumar, Balaji Sakthivel, Akshay Sundher, Thiagarajan Kumararaja","2023, 6 Episodes",3.5,"Kishore, Ramya Nambeesan, Ashok Selvan, Ritu Varma, Vijayalakshmi, TJ Banu, Gouri Reddy, Samyuktha Vishwanathan, Vasudevan Murali, Chu Khoy Sheng, Sanjula S",Prime Video
149,"XO, Kitty Season 1","Jennifer Arnold, Katina Medina Mora","2023, 10 Episodes",4.4,"Anna Cathcart, Anthony Keyvan, Minyeong Choi, Théo Augier Bonaventure, Ivan Melgares, Alexander Morel, Yunjin Kim, Peter Thurnwald, Daniel C Kennedy, Jocelyn Shelfo, Sam Scherzer, Gia Kim, Regan Aliyah, Sang Heon Lee, Kaniel Jacob-Cross, Jordana Summer, Michael K. Lee, Won Hee Lee",Netflix
151,McGregor Forever,Gotham Chopra,"2023, 4 Episodes",3.6,Conor McGregor,Netflix
152,Rhythm + Flow France Season 2,No description available,2023,2.8,"Niska, Shay, SCH, Jul, Soso Maness, Tiakola, Hamza, Gradur",Netflix
154,Black Knight,Cho Ui-seok,2023,2.5,"Kim Woo-bin, Song Seung-heon, Kang Yoo-seok, Esom, Kim Eui-sung, Jin Kyung, Lee Hak-joo, Lee Sang-hee, Yu Seong-ju",Netflix
156,Dahaad,"Reema Kagti, Ruchika Oberoi","2023, 8 Episodes",3.1,"Sonakshi Sinha, Vijay Verma, Gulshan Devaiah, Sohum Shah, Yogi Singha, Sanghmitra Hitaishi, Ratnabali Bhattacharjee, Nirmal Chiraniyan, Vijay Kumar Dogra, Abhishek Bhalerao, Waris Ahmed Zaidi",Prime Video
157,Mulligan,Casey Crowe,"2023, 10 Episodes",3.5,"Daniel Radcliffe, Kevin Michael Richardson, Ayo Edebiri, Tina Fey, Sam Richardson, Ronny Chieng, Phil LaMarr, Nat Faxon, Dana Carvey, Chrissy Teigen",Netflix
158,Newsense,Sriprawin Kumar,"2023, 6 Episodes",0.5,"Bindhu Madhavi, Navdeep",Aha
160,Taj: Divided by Blood Season 2,Vibhu Puri,"2023, 8 Episodes",3.7,"Dharmendra, Naseeruddin Shah, Aashim Gulati, Aditi Rao Hydai, Rahul Bose, Padma Damodaran, Sandhya Mridul",Zee5
162,Dance Brothers,Taito Kawata,"2023, 10 Episodes",5,"Jeanine Muyima, Cristal Snow, Lauri Lohi, Samuel Kujala, Roderick Kabanga, Fanni Noroila, Oksana Lommi, Pietari Kauppinen, Andrew Taua'i, Josefiina Kotajärvi, Eeva Eloranta, Latisha Allen, Sara Paavolainen",Netflix
163,Missing: Dead or Alive?,Alexander Irvine-Cox,"2023, 4 Episodes",3.9,"Vicky Rains, Heidi Jackson, J.P. Smith, Nina Mauldin, Tony Garcia, Mansoor Watson, Molly Nations, Lamanda Kandice Moore, Cathy Taylor",Netflix
164,Queen Cleopatra,No description available,2023,1.2,"Jada Pinkett Smith, Adele James, Craig Russell, John Partridge, Kaysha Woollery, Andira Crichlow, Greg Lockett, Philip Walker",Netflix
166,Biswa Kalyan Rath: Mood Kharaab,Kanan Gill,2023,2,Biswa Kalyan Rath,Prime Video
167,Fireflies – Parth aur Jugnu,Hemant Gaba,2023,3.8,"Meet Mukhi, Aekam Binjwe, Madhoo Shah, Priyanshu Chaterjee, Luke Kenny, Akshat Singh, Zoya Afroz, Varun Kapoor, Harshit Bhojwani, Anaya Shivan, Riva Arora, Rahul Singh, Hitesh Dave",Zee5
169,"Saas, Bahu Aur Flamingo",Homi Adajania,2023,3.8,"Dimple Kapadia, Radhika Madan, Udit Arora, Angira Dhar, Deepak Dobriyal, Monica Dogra, Varun Mitra, Vikram Pratap, Isha Talwar, Ashish Verma",Disney+ Hotstar
170,Shabash Feluda,Arindam Sil,"2023, 10 Episodes",2.7,"Parambrata Chattopadhyay, Sauraseni Maitra, Ritwick Chakraborty, Rudranil Ghosh, Rwitobroto Mukherjee, Debopriyo Mukherjee, Arindam Sil, Topher Collins, Kamaleswar Mukherjee",Zee5
171,Silo Season 1,"Morten Tyldum, Morten Tyldum","2023, 10 Episodes",4.2,"Rebecca Ferguson, Tim Robbins, Rashida Jones, David Oyelowo, Common, Harriet Walter, Avi Nash, Chinaza Uche",Apple TV+
172,Queen Charlotte: A Bridgerton Story,Tom Verica,2023,2.9,"Michelle Fairley, Ruth Gemmell, Adjoa Andoh, Golda Rosheuvel, India Amarteifio, Tunji Kasim, Hugh Sachs, Katie Brayben, Julia Westcott-Hutton, Corey Mylchreest, Cyril Nri, Sam Clemmett, Keir Charles, Connie Jenkins-Greig, Richard Cunningham, Arsema Thomas, Rob Maloney",Netflix
173,Sanctuary,Kan Eguchi,"2023, 8 Episodes",3.3,"Eugene Ko, Willis Chung, Chase Yi, Koyuki, Shôta Sometani, Tomorô Taguchi, Hiroki Sumi, Kimiko Yo",Netflix
178,The Tailor Season 1,Cem Karci,"2023, 7 Episodes",3.9,"Çağatay Ulusoy, Salih Bademci, Şifanur Gül, Olgun Simsek, Berrak Tüzünataç, Evrim Alasya, Joshua Flickema, Engin Senkan, Ece Sükan",Netflix
179,Citadel Season 1,"Newton Thomas Sigel, Jessica Yu, Anthony Russo, Joe Russo","2023, 6 Episodes",3.6,"Richard Madden, Priyanka Chopra, Stanley Tucci, Lesley Manville, Osy Ikhile, Ashleigh Cummings, Roland Møller, Caoilinn Springall",Prime Video
181,King of Collectibles: The Goldin Touch,No description available,"2023, 6 Episodes",4.5,Ken Goldin,Netflix
183,Sweet Tooth Season 2,No description available,2023,2.3,"Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen, Dania Ramirez, Aliza Vellani, James Brolin, Will Forte",Netflix
184,The Nurse,Kasper Barfoed,"2023, 4 Episodes",5,"Fanny Louise Bernth, Josephine Park, Peter Zandersen, Dick Kaysø, Amalie Lindegård, Sofia Cukic, Stephanie Nguyen, Mathilde Eusebius, Stine Schrøder Jensen, Sara Fanta Traore, Shahbaz Sarwar, Tammi Øst, Lukas Løkken, Marion Reuther, Ane Stensgaard-Juul, Frederikke Dahl Hansen",Netflix
